name,artist,start time,end time,playtime,deck,bpm,notes,album,comment,,#,key,genre,year
3/27/15,,"3/27/15, 13:04:09 EDT","3/27/15, 22:09:01 EDT",9:04:52,,,,,,,,,,
No Pressure,SPACE AGE,19:32:24 EDT,19:34:09 EDT,0:01:45,2,74,,The Theory Of...,Visit http://littlesimz.bandcamp.com,,,,,2015
Waves [Prod. By Freddie Joachim],Joey Bada$$,19:33:00 EDT,21:29:37 EDT,1:56:37,1,90,,Joey BADA$$ - 1999,LiveMixtapes.com - Get It LIVE!,,,,,2012
SPACES FEAT QUASIMOTO,KING BRITT,21:18:33 EDT,21:27:01 EDT,0:08:28,2,98,,ADVENTURES IN LO FI,,,,,,
"Drop That Bitch ft. Kurupt, Schoolboy Q, Problem, Bad Lucc",Salva,21:27:01 EDT,21:31:32 EDT,0:04:31,2,135,,PEACEMAKER,,,,,Rap,
fux,dayla x jr jarris,21:29:37 EDT,21:32:45 EDT,0:03:08,1,138,,,,,,,,
Ta-ku - Dip That,,21:31:32 EDT,21:34:29 EDT,0:02:57,2,70,,,,,,,,
Safe and Sound (feat. Okmalumkoolkat),LV,21:32:45 EDT,21:32:47 EDT,0:00:02,1,70,,Sebenza,,,,,,2012
Schoolboy Q ft. BJ The Chicago Kid - Studio (J-Lah Edit) ,J-Lah ,21:32:47 EDT,21:32:54 EDT,0:00:07,1,70,,,,,,,,
Double U,DARK SKY,21:32:54 EDT,21:36:05 EDT,0:03:11,1,70,,Confunktion,,,,,Bass,2013
Lyrebird,Flako,21:34:29 EDT,21:37:53 EDT,0:03:24,2,135,,Natureboy,,,,,,2015
One,Butti,21:36:05 EDT,21:40:04 EDT,0:03:59,1,131,,DVA Music,,,,,Bass,2014
Shuffleclub,Pixelord,21:37:53 EDT,21:59:06 EDT,0:21:13,2,130,,[via XLR8R],,,,,,
USB People,Color Plus,21:40:05 EDT,21:56:09 EDT,0:16:04,1,130,,Mångata Sequence,Visit http://terrorhythm.bandcamp.com,,,,,2015
Pony Time One,triphouse rotterdam,21:56:09 EDT,22:00:53 EDT,0:04:44,1,122,,Frits Wentink - Mary's Pony E.P. TRIP002,Visit http://triphouserotterdam.bandcamp.com,,,,,2013
Sticky,Les Sins,21:59:06 EDT,22:02:48 EDT,0:03:42,2,122,,Michael,,,,,Company Records,2014
Milo Mills-racks,,22:00:53 EDT,22:09:01 EDT,0:08:08,1,123,,,,,,,,
If I Was to Gravy You,Frits Wentink,22:02:48 EDT,22:09:01 EDT,0:06:13,2,123,,Family Dinner EP,,,,,Deep House,2014
Safe and Sound (feat. Okmalumkoolkat),LV,22:15:25 EDT,22:20:14 EDT,0:04:49,1,70,,Sebenza,,,,,,2012
Yaaa,FLUSS,22:17:44 EDT,22:21:28 EDT,0:03:44,2,135,,Darker Than Wax Free Download Series,,,,,Darker Than Wax,2014
Lock Lock Key Key,JETS,22:20:15 EDT,0:56:24 EDT,2:36:09,1,70,,Jets EP,,,,,Bass,2012
Shaun!c & Joseph L_Etranger - Git It,Shuan C Joseph L ,22:21:28 EDT,0:56:24 EDT,2:34:56,2,135,,Furture Bass,,,,,,2014
