name,artist,playtime,bpm,year
3/20/15,,,,
Breath And Stop,Q-Tip,0:06:46,99,1999
Red Nose (Dubbel Dutch 'Go-Go Bunx' Retool),Sage the Gemini,0:06:52,100,2013
Let's Get Rich (Middleton Remix),Rev,0:07:49,100,2014
Sweat (David Banner Edit),The Starship Connection,0:09:35,101,2014
Ain't Got It Till It's Done [Obas Nenor Edit],,0:06:40,104,2014
Tommy Boy,Middle Clash,0:10:55,91,2014
Inevitable (feat Capitol A),GROOVEMAN SPOT,0:12:15,113,2012
Un Canto A Mi Tierra (J-Boogie Instrumental Remix),Quantic and his Combo Bárbaro,0:01:06,113,2011
Sweat Like Keith,Ta-ku,0:08:07,115,2012
FIFAFOFUM!,Hodgy Beats &Left Brain,0:07:06,120,2014
Think W.China,NeguimBeats X China,0:00:49,120,2014
Blossoms (Nick Wisdom Remix),Potatohead People,0:06:13,115,2014
Room 302 (feat. Tink),Future Brown,0:08:23,120,2015
Future,S.F.T,0:00:34,120,2013
Señorita (Soundpalette's Slow Ride Bootleg),Justin Timberlake,0:08:21,75,2014
Didn't I ( Wayvee's Dusty Edit ),Darondo,0:00:23,70,2014
Safe and Sound (feat. Okmalumkoolkat),LV,0:07:06,70,2012
Ta-ku - Dip That,,0:06:43,70,2013
"Drop That Bitch (feat. Kurupt, Schoolboy Q, Problem & Bad Lucc)",SALVA,0:07:36,135,2014
fux,dayla x jr jarris,0:08:15,138,2014
Didn't I ( Wayvee's Dusty Edit ),Darondo,0:00:18,70,2014
'95 White Maxima [prod. by Durkin],Black EL,0:04:20,72,2014
J-LAH - Ooo Baby Baby,J-Lah ,0:05:53,74,2013
Middle of Things - JBoogie EDIT,Sango feat. SPZRKT,0:03:48,95,2013
SPACES FEAT QUASIMOTO,KING BRITT,0:11:06,98,2011
LV feat Okmalumkoolkat - SSSNAKE,,0:05:25,95,2013
Actin Crazy,Action Bronson,0:02:59,83,2015
Don Blackman - Another love ( unreleased edit ) ,,0:07:52,102,1983
Reggae Down,Iwabo,0:08:35,93,1981
Warren G ft. Nate Dogg - I Need A Light [VECT reflip] ,VECT,0:03:47,98,2013
Hamo - Whole Train,Hamo,0:11:20,96,2014
Beat 4our,Count Bass D,0:00:06,94,2013
LEO SAYER - EASY TO LOVE,,0:04:20,96,1983
Everything Is Everything,Gabriel Garzón-Montano,0:03:25,86,2014
