name,artist,playtime,bpm,year
3/13/15,,,,
 Selfish (Sh?m Bootleg remix),Jordan Rakei,0:04:26,137,2014
Buzzard & Kestrel,James Blake,0:05:51,70,2010
My Time,Jordan Rakei,0:02:18,75,2013
Hope,Jordan Rakei,0:00:13,100,2013
Shaun!c & Joseph L_Etranger - Git It,Shuan C Joseph L ,0:03:31,135,2014
Alicia,Mala,0:05:56,139,1/1/07
01. Joe Goddard x Kidnap Kid x Moko- Let Me Go,,0:00:21,135,2015
Oh Tubbys,BANGERS R MASHED/VARIOUS,0:07:30,133,2010
Aamar- GoGo,,0:00:11,70,2015
Candour (Photay Remix),Oceaán,0:05:05,85,2015
Toni Tornado / Me Libertei,Various Artists,0:04:30,86,2004
Cool (feat. Reality Jonez & Mistah FAB),XL Middleton,0:05:22,87,2012
Actin Crazy,Action Bronson,0:06:00,83,2015
Trial And Crosses,Nitty Gritty,0:00:06,88,2014
Confess,Fashawn,0:00:37,81,2015
...Girl,Mura Masa,0:03:57,88,2014
Tommy Boy,Middle Clash,0:04:13,91,2014
Spiritual Fi,Reggie B,0:05:23,85,2012
Watermelon Man 2013,Jesse Fischer & Sly5thAve,0:00:57,78,2013
4U,MXXWLL,0:03:49,81,2015
Confess,Fashawn,0:06:08,81,2015
I Don't Give A Fuck About Rap,XL Middleton,0:01:08,82,2012
Didn't I ( Wayvee's Dusty Edit ),Darondo,0:05:30,70,2014
Floating,Chef Red,0:03:10,70,2015
Freekin',Spooky,0:03:19,70,2014
'95 White Maxima [prod. by Durkin],Black EL,0:00:30,72,2014
Ta-ku - Dip That,,0:02:42,70,2014
Speng (feat. Riko Dan),Future Brown,0:03:47,70,2015
Jaël - Lé Mé Sé,,0:04:08,70,2013
Purp,JD. Reid,0:03:50,130,2015
Freaking U (feat. Starship Connection),SALVA,0:00:15,129,2014
tsurudaxhuxleyanne-alaska,Tsuruda X Huxley Anne,0:05:45,130,2015
No Sass,Photay,0:02:15,134,2014
Roman Baths,Murlo,0:00:05,135,2014
Freaking U (feat. Starship Connection),SALVA,0:04:51,129,2014
How Do You Love Me,SPZRKT & Sango,0:05:12,130,2015
Foreign Bodies,Color Plus,0:04:35,132,2015
