name,artist,playtime,bpm,year
3/28/15,,,,
Keep On Walking,Reginald Omas Mamode Ivth,0:04:23,74,2014
I Wana B Down,T. Page x Brandy,0:00:42,70,2014
Prototype (AndreÌÅ 3000 Standard),Computer Jay & Orfeo,0:03:02,76,2014
St. Tropez,J. Cole,0:03:30,84,2014
Jah Jah Is Coming (Original Mix),Dub Pets,0:00:00,75,2011
Generation,Monkeyrobot,0:00:00,75,2014
Sugarcoated,Jasper Staal,0:00:01,84,2015
If We Were Alone (Feat. N'dambi),Keite Young,0:00:15,83,2007
40 Degreez,Zo aka La Chauve-souris,0:03:24,83,2014
Kaa,Samuel Truth,0:03:29,84,2013
Hummin In The Sun,Ras G & Black Monk,0:04:23,88,2010
Personal,Georgia Anne Muldrow,0:00:01,87,2014
Revolution,Maverick,0:00:06,85,2015
Toni Tornado / Me Libertei,Various Artists,0:02:57,86,2004
Cuban Link - My Lady (Ben Hedibi Remix),,0:04:24,89,2014
Waves [Prod. By Freddie Joachim],Joey Bada$$,0:05:02,90,2012
"Beats, Beer & BBQ Feat. Prince Po and Matiah Chinaski",Brous One,0:04:28,91,2014
Explosives feat. Illa J & Moka Only,Potatohead People,0:05:14,91,2014
An Old Escape (Kill Them Kill) (Dabrye remix),Illum Sphere,0:00:10,95,2012
The Bizness (feat. Common Sense),De La Soul,0:01:06,91,1996
An Old Escape (Kill Them Kill) (Dabrye remix),Illum Sphere,0:03:39,95,2012
SPACES FEAT QUASIMOTO,KING BRITT,0:03:52,98,2013
Middle of Things - JBoogie EDIT,Sango feat. SPZRKT,0:04:29,95,2013
Red Nose (Dubbel Dutch 'Go-Go Bunx' Retool),Sage the Gemini,0:03:41,100,2014
dabrye vs bahamadia_dappa dubs edit,,0:03:27,96,2012
PyramidFunk)B2,,0:04:32,96,2012
Baby (Penthouse'd),Brandy,0:05:35,97,2014
Ain't Got It Till It's Done [Obas Nenor Edit],,0:05:44,104,2014
Sweat (David Banner Edit),The Starship Connection,0:05:24,101,2014
YAMAWAVE(1),Benedek,0:00:24,102,2013
Sweet Rendez-Vous (Jazz Neversleeps Remix),JtotheC & the Bad Mothas,0:05:53,102,2012
StarLite,Lowmac & Fonksta,0:00:38,102,2013
Dream On (The Revenge edit),Nel Oliver,0:04:40,102,2011
Life Struggle (Original Mix),Marquis Hawkes,0:01:00,127,2014
Hit The Club,Neck,0:04:59,71,2015
Schoolboy Q ft. BJ The Chicago Kid - Studio (J-Lah Edit) ,J-Lah ,0:03:33,70,2013
fux,dayla x jr jarris,0:03:19,138,2014
Magic Drops,Jam City,0:02:55,130,2010
Speng (feat. Riko Dan),Future Brown,0:00:00,70,2015
Wayvee - Sentinel Beach (Samuel Truth Remix),,0:00:01,130,2014
Jackpot,Roska,0:03:20,130,2011
FoeFifteenz(getoshit),dom$olo,0:00:04,138,2012
"Drop That Bitch (feat. Kurupt, Schoolboy Q, Problem & Bad Lucc)",SALVA,0:03:57,135,2014
Nath ,Sants,0:03:32,132,2014
Talk Slow,HADE + DWFL,0:03:30,135,2013
Freaking U (feat. Starship Connection),SALVA,0:05:07,129,2014
Fuck The Police (Street),Jay Dee,0:02:52,98,1998
