name,artist,start time,end time,playtime,deck,bpm,notes,album,comment,,#,key,genre,year
3/28/15,,"3/28/15, 21:27:54 EDT","3/29/15, 0:58:10 EDT",3:30:16,,,,,,,,,,
Keep On Walking,Reginald Omas Mamode Ivth,22:39:08 EDT,22:43:31 EDT,0:04:23,1,74,,Southport Weekender - LeFtO,,,,,pop,2014
T. Page x Brandy - I Wana B Down,,22:41:31 EDT,22:42:13 EDT,0:00:42,2,70,,,,,,,,
Prototype (André 3000 Standard),Computer Jay & Orfeo,22:42:13 EDT,22:45:15 EDT,0:03:02,2,76,,,,,,,,2014
St. Tropez,J. Cole,22:43:36 EDT,22:47:06 EDT,0:03:30,1,84,,2014 Forest Hills Drive,,,,,Hip-Hop/Jazz Rap,2014
Jah Jah Is Coming (Original Mix),Dub Pets,22:45:15 EDT,22:45:15 EDT,0:00:00,2,75,,Chateau Margot - Vintage Coincidence And Forteana Tracks.,8A - Purchased at Beatport.com,,,8A,Reggae / Dub,2011
Generation,Monkeyrobot,22:47:06 EDT,22:47:06 EDT,0:00:00,1,75,,Earshot EP,DTW030,,,,Dance - Leftfield,2014
Sugarcoated,Jasper Staal,22:48:50 EDT,22:48:51 EDT,0:00:01,2,84,,Darker Than Wax Free Download,,,,,Darker Than Wax,
If We Were Alone (Feat. N'dambi),Keite Young,22:49:46 EDT,22:50:01 EDT,0:00:15,2,83,,Rise And Fall Of Keite Young,,,,,Soul,2007
40 Degreez,Zo aka La Chauve-souris,22:50:01 EDT,22:53:25 EDT,0:03:24,2,83,,Feelings in Colour,CRDTW-001,,,,Electronic,2014
Kaa,Samuel Truth,22:51:12 EDT,22:54:41 EDT,0:03:29,1,84,,Kingdom,Visit http://samueltruth.bandcamp.com,,,,,2013
Hummin In The Sun,Ras G & Black Monk,22:53:25 EDT,22:57:48 EDT,0:04:23,2,88,,Day & Night EP,,,,,BEATS / DOWNTEMPO / BOOGIE,2010
Personal,Georgia Anne Muldrow,22:54:41 EDT,22:54:42 EDT,0:00:01,1,87,,Ms. One (Rap EP),Visit http://someothaship.bandcamp.com,,,,,2014
Revolution,Maverick,22:57:48 EDT,22:57:54 EDT,0:00:06,2,85,,NWDS #3 Spring Tape,Visit http://nowadaysrecords.bandcamp.com,,,,,2015
Toni Tornado / Me Libertei,Various Artists,22:57:54 EDT,23:00:51 EDT,0:02:57,2,86,,Soul of Brazil,,,,,Jazz+Funk,2004
Cuban Link - My Lady (Ben Hedibi Remix),,22:58:49 EDT,23:03:13 EDT,0:04:24,1,89,,,,,,,,
Waves [Prod. By Freddie Joachim],Joey Bada$$,23:00:51 EDT,23:05:53 EDT,0:05:02,2,90,,Joey BADA$$ - 1999,LiveMixtapes.com - Get It LIVE!,,,,,2012
"Beats, Beer & BBQ Feat. Prince Po and Matiah Chinaski",Brous One,23:03:13 EDT,23:07:41 EDT,0:04:28,1,91,,"Beats, Beer & BBQ",Visit http://brousone.bandcamp.com,,,,,2014
Explosives feat. Illa J & Moka Only,Potatohead People,23:05:53 EDT,23:11:07 EDT,0:05:14,2,91,,Explosives / Blue Charms,Visit http://bastardjazz.bandcamp.com,,,,,2014
An Old Escape (Kill Them Kill) (Dabrye remix),Illum Sphere,23:07:41 EDT,23:07:51 EDT,0:00:10,1,95,,Illum Sphere Remixed,8A,,,8A,Hip Hop/Instrumental,2012
The Bizness (feat. Common Sense),De La Soul,23:07:51 EDT,23:08:57 EDT,0:01:06,1,91,,Stakes Is High,http://rappalata.net/,,,,Rap,1996
An Old Escape (Kill Them Kill) (Dabrye remix),Illum Sphere,23:08:57 EDT,23:12:36 EDT,0:03:39,1,95,,Illum Sphere Remixed,8A,,,8A,Hip Hop/Instrumental,2012
SPACES FEAT QUASIMOTO,KING BRITT,23:11:07 EDT,23:14:59 EDT,0:03:52,2,98,,ADVENTURES IN LO FI,,,,,,
Middle of Things - JBoogie EDIT,Sango feat. SPZRKT,23:12:36 EDT,23:17:05 EDT,0:04:29,1,95,,Summer Soul EDITS,jboogie.com | soundcloud.com/jboogiedubtronic (master 2),,,,Moombahsoul,
Red Nose (Dubbel Dutch 'Go-Go Bunx' Retool),Sage the Gemini,23:14:59 EDT,23:18:40 EDT,0:03:41,2,100,,,11A,,,,,
dabrye vs bahamadia_dappa dubs edit,,23:17:05 EDT,23:20:32 EDT,0:03:27,1,96,,,,,,,,
PyramidFunk)B2,,23:18:40 EDT,23:23:12 EDT,0:04:32,2,96,,,,,,,,
Baby (Penthouse'd),Brandy,23:20:34 EDT,23:26:09 EDT,0:05:35,1,97,,,,,,,,
Ain't Got It Till It's Done [Obas Nenor Edit],,23:23:12 EDT,23:28:56 EDT,0:05:44,2,104,,,,,,,,
Sweat (David Banner Edit),The Starship Connection,23:26:09 EDT,23:31:33 EDT,0:05:24,1,101,,Do Androids Dance Exclusive,https://www.facebook.com/stars,,,,Electronic,
YAMAWAVE(1),Benedek,23:28:57 EDT,23:29:21 EDT,0:00:24,2,102,,,,,,,,
Sweet Rendez-Vous (Jazz Neversleeps Remix),JtotheC & the Bad Mothas,23:29:21 EDT,0:35:14 EDT,1:05:53,2,102,,Sweet Rendez-Vous - The Remixes,Visit http://on-point.bandcamp.com,,,,,2012
StarLite,Lowmac & Fonksta,23:31:33 EDT,23:32:11 EDT,0:00:38,1,102,,Darker Than Wax Free Download,,,,,Darker Than Wax,
Dream On (The Revenge edit),Nel Oliver,23:32:11 EDT,0:42:51 EDT,1:10:40,1,102,,Reekin'Structions By The Revenge (Album Sampler Part One),,,,,Disco/Nu Disco/Re-Edits,2011
Life Struggle (Original Mix),Marquis Hawkes,0:35:14 EDT,0:36:14 EDT,0:01:00,2,127,,Will Saul presents: DJ-Kicks EP,http://glorybeats.com/,,,D#min,Deep House,2014
Hit The Club,Neck,0:36:14 EDT,0:41:13 EDT,0:04:59,2,71,,Long Gone,,,,,,2015
Schoolboy Q ft. BJ The Chicago Kid - Studio (J-Lah Edit) ,J-Lah ,0:41:13 EDT,0:44:46 EDT,0:03:33,2,70,,,,,,,,
fux,dayla x jr jarris,0:42:51 EDT,0:46:10 EDT,0:03:19,1,138,,,,,,,,
Magic Drops,Jam City,0:44:46 EDT,0:47:41 EDT,0:02:55,2,130,,Magic Drops (NS009),              defacing_music,,,,Electronic,2010
Speng (feat. Riko Dan),Future Brown,0:46:10 EDT,0:46:10 EDT,0:00:00,1,70,,Future Brown,,,,,UK Bass,2015
Wayvee - Sentinel Beach (Samuel Truth Remix),,0:46:10 EDT,0:46:11 EDT,0:00:01,1,130,,,,,,,,
Jackpot,Roska,0:46:11 EDT,0:49:31 EDT,0:03:20,1,130,,Jackpot EP,BNP!,,,,Bass,2011
FoeFifteenz(getoshit),dom$olo,0:47:44 EDT,0:47:48 EDT,0:00:04,2,138,,1000 BLUNTS,Visit http://domsolo.bandcamp.com,,,,,2012
"Drop That Bitch (feat. Kurupt, Schoolboy Q, Problem & Bad Lucc)",SALVA,0:47:49 EDT,0:51:46 EDT,0:03:57,2,135,,PEACEMAKER,,,,,Rap,2014
Nath ,Sants,0:49:31 EDT,0:53:03 EDT,0:03:32,1,132,,Darker Than Wax Free D/L,,,,,Darker Than Wax,
Talk Slow,HADE + DWFL,0:51:47 EDT,0:55:17 EDT,0:03:30,2,135,,The Healthiest Man In Chicago,,,,,MPM,2013
Freaking U (feat. Starship Connection),SALVA,0:53:03 EDT,0:58:10 EDT,0:05:07,1,129,,PEACEMAKER,,,,,Rap,2014
Fuck The Police (Street),Jay Dee,0:55:18 EDT,0:58:10 EDT,0:02:52,2,98,,"Fuck The Police / Move (12"")",,,,,"Rap / Hip-Hop 12"""
